spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,novelty,novelty_norm,propagation_fraction,measurability,score_v02,universal_potential_speed_mps
0,-6,1,1,1,0,-8,0,1.7628697486107399,1.0,0.0,0.8,0.8300000000000001,299792458
0,-6,1,1,1,0,-7,0,1.7380952380952381,0.9859464883693048,0.0,0.8,0.8222705686031175,299792458
0,-6,1,1,1,0,-8,1,1.7335230142159426,0.9833528628998686,0.0,0.8,0.8208440745949277,299792458
0,6,1,1,1,0,-8,0,1.7276266603496893,0.9800081155803912,0.0,0.8,0.8190044635692153,299792458
0,-6,1,1,1,0,-7,1,1.7159383568311668,0.9733778449505086,0.0,0.8,0.8153578147227798,299792458
0,-6,1,1,1,0,-6,0,1.7159383568311668,0.9733778449505086,0.0,0.8,0.8153578147227798,299792458
0,-6,1,1,1,0,-6,1,1.6965016692689106,0.962352250134117,0.0,0.8,0.8092937375737643,299792458
0,-6,1,1,1,0,-5,0,1.6965016692689106,0.962352250134117,0.0,0.8,0.8092937375737643,299792458
0,6,1,1,1,0,-7,0,1.6933242273042426,0.9605498243070404,0.0,0.8,0.8083024033688722,299792458
0,-5,1,1,1,0,-8,0,1.6904761904761905,0.9589342558112417,0.0,0.8,0.807413840696183,299792458
0,5,1,1,1,0,-8,0,1.6869513889446048,0.9569347878787052,0.0,0.8,0.8063141333332879,299792458
0,-6,1,1,1,0,-5,1,1.679879598320251,0.9529232659668188,0.0,0.8,0.8041077962817502,299792458
0,-6,1,1,1,0,-4,0,1.679879598320251,0.9529232659668188,0.0,0.8,0.8041077962817502,299792458
0,-6,1,1,1,1,-8,0,1.4517953542310615,0.823540908439307,0.0,1.0,0.8029474996416188,299792458
0,-6,1,1,1,0,-3,0,1.6661563844686575,0.94513867844275,0.0,0.8,0.7998262731435126,299792458
0,-6,1,1,1,0,-4,1,1.6661563844686575,0.94513867844275,0.0,0.8,0.7998262731435126,299792458
0,-5,1,1,1,0,-7,0,1.6646245993284319,0.944269762777578,0.0,0.8,0.799348369527668,299792458
0,6,1,1,1,0,-8,1,1.6646245993284319,0.944269762777578,0.0,0.8,0.799348369527668,299792458
0,6,1,1,1,0,-6,0,1.661386192801858,0.9424327543830974,0.0,0.8,0.7983380149107036,299792458
0,-6,1,1,1,0,3,1,1.6554041234065426,0.939039384339718,0.0,0.8,0.796471661386845,299792458
